# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[   486] ((nontrivial) ∧ (regular)) ⇒ ((1/2) · roman_domination_number) ≤ independent_domination_number    -- trivial:known
[   482] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ two_rainbow_domination_number ≤ (outer_connected_domination_number + 1)    -- promising:class
[   477] (((nontrivial) ∧ (claw_free)) ∧ (planar)) ⇒ three_rainbow_domination_number ≤ order    -- trivial:subsumed
[   477] (((nontrivial) ∧ (planar)) ∧ (subcubic)) ⇒ three_rainbow_domination_number ≤ order    -- trivial:subsumed
[   477] (((nontrivial) ∧ (K_4_free)) ∧ (claw_free)) ⇒ three_rainbow_domination_number ≤ order    -- trivial:subsumed
[   477] (((nontrivial) ∧ (claw_free)) ∧ (subcubic)) ⇒ three_rainbow_domination_number ≤ order    -- trivial:subsumed
[   477] (nontrivial) ⇒ three_rainbow_domination_number ≤ order    -- promising:universal
[   474] (nontrivial) ⇒ total_domination_number ≤ (2 · min_maximal_matching_number)    -- promising:universal
[   471] ((nontrivial) ∧ (claw_free)) ⇒ ((1/2) · order) ≤ edge_cover_number    -- trivial:subsumed
[   470] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ (2 · power_domination_number) ≤ total_domination_number    -- promising:class
[   469] (((nontrivial) ∧ (chordal)) ∧ (planar)) ⇒ diameter ≤ ((4 · slater) + -2)    -- promising:class
[   461] ((nontrivial) ∧ (claw_free)) ⇒ minimum_degree ≤ (two_forcing_number + 1)    -- trivial:decorative
[   461] (((nontrivial) ∧ (claw_free)) ∧ (connected)) ⇒ (minimum_degree + -1) ≤ two_forcing_number    -- trivial:subsumed
[   456] ((nontrivial) ∧ (eulerian)) ⇒ 2 ≤ minimum_degree    -- promising:class
[   454] (((nontrivial) ∧ (cograph)) ∧ (subcubic)) ⇒ power_domination_number ≤ two_forcing_number    -- trivial:subsumed
[   443] (nontrivial) ⇒ triameter ≤ (4 · total_domination_number)    -- promising:universal
[   442] (((nontrivial) ∧ (bipartite)) ∧ (chordal)) ⇒ positive_semidefinite_zero_forcing_number ≤ power_domination_number    -- promising:class
[   440] (((nontrivial) ∧ (claw_free)) ∧ (cograph)) ⇒ power_domination_number ≤ two_forcing_number    -- trivial:subsumed
[   439] (((nontrivial) ∧ (K_4_free)) ∧ (cograph)) ⇒ chromatic_number ≤ 3    -- promising:class
[   437] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ (maximum_degree + 1) ≤ order    -- trivial:known
[   437] ((nontrivial) ∧ (cograph)) ⇒ maximum_degree ≤ (order + -1)    -- trivial:known
[   435] ((nontrivial) ∧ (regular)) ⇒ average_degree ≤ (two_forcing_number + 1)    -- promising:class
[   435] ((nontrivial) ∧ (regular)) ⇒ minimum_degree ≤ (two_forcing_number + 1)    -- trivial:decorative
[   435] ((nontrivial) ∧ (regular)) ⇒ maximum_degree ≤ (two_forcing_number + 1)    -- promising:class
[   433] (((nontrivial) ∧ (K_4_free)) ∧ (connected)) ⇒ domination_number ≤ matching_number    -- trivial:known
[   429] (((nontrivial) ∧ (chordal)) ∧ (subcubic)) ⇒ power_domination_number ≤ domination_number    -- trivial:subsumed
[   428] (((nontrivial) ∧ (subcubic)) ∧ (triangle_free)) ⇒ maximum_degree ≤ ((3 · clique_number) + -3)    -- promising:class
[   426] (((nontrivial) ∧ (bipartite)) ∧ (cograph)) ⇒ matching_number ≤ min_maximal_matching_number    -- promising:class
[   425] (((nontrivial) ∧ (chordal)) ∧ (subcubic)) ⇒ power_domination_number ≤ independent_domination_number    -- trivial:decorative
[   425] (((nontrivial) ∧ (connected)) ∧ (planar)) ⇒ domination_number ≤ matching_number    -- trivial:known
[   412] ((nontrivial) ∧ (triangle_free)) ⇒ three_rainbow_domination_number ≤ order    -- trivial:subsumed
